"year","fips_county","county_name","plan_selections","state_code"
2017,"24001","Allegany County",966,"MD"
2017,"24003","Anne Arundel County",12792,"MD"
2017,"24005","Baltimore County",21487,"MD"
2017,"24009","Calvert County",1633,"MD"
2017,"24011","Caroline County",652,"MD"
2017,"24013","Carroll County",3813,"MD"
2017,"24015","Cecil County",2102,"MD"
2017,"24017","Charles County",2769,"MD"
2017,"24019","Dorchester County",647,"MD"
2017,"24021","Frederick County",6096,"MD"
2017,"24023","Garrett County",735,"MD"
2017,"24025","Harford County",5308,"MD"
2017,"24027","Howard County",9403,"MD"
2017,"24029","Kent County",457,"MD"
2017,"24031","Montgomery County",41983,"MD"
2017,"24033","Prince George's County",24226,"MD"
2017,"24035","Queen Anne's County",1237,"MD"
2017,"24037","St. Mary's County",1426,"MD"
2017,"24039","Somerset County",512,"MD"
2017,"24041","Talbot County",1125,"MD"
2017,"24043","Washington County",2822,"MD"
2017,"24045","Wicomico County",2132,"MD"
2017,"24047","Worcester County",2033,"MD"
2017,"24510","Baltimore City",11281,"MD"
