"year","fips_county","county_name","state_code","plan_selections"
2017,"36001","Albany County","NY",2692
2017,"36003","Allegany County","NY",403
2017,"36005","Bronx County","NY",6741
2017,"36007","Broome County","NY",1802
2017,"36009","Cattaraugus County","NY",825
2017,"36011","Cayuga County","NY",923
2017,"36013","Chautauqua County","NY",1599
2017,"36015","Chemung County","NY",792
2017,"36017","Chenango County","NY",451
2017,"36019","Clinton County","NY",679
2017,"36021","Columbia County","NY",1207
2017,"36023","Cortland County","NY",470
2017,"36025","Delaware County","NY",432
2017,"36027","Dutchess County","NY",5165
2017,"36029","Erie County","NY",8605
2017,"36031","Essex County","NY",514
2017,"36033","Franklin County","NY",455
2017,"36035","Fulton County","NY",476
2017,"36037","Genesee County","NY",640
2017,"36039","Greene County","NY",619
2017,"36041","Hamilton County","NY",100
2017,"36043","Herkimer County","NY",586
2017,"36045","Jefferson County","NY",847
2017,"36047","Kings County","NY",34177
2017,"36049","Lewis County","NY",342
2017,"36051","Livingston County","NY",578
2017,"36053","Madison County","NY",682
2017,"36055","Monroe County","NY",8061
2017,"36057","Montgomery County","NY",373
2017,"36059","Nassau County","NY",22436
2017,"36061","New York County","NY",28123
2017,"36063","Niagara County","NY",2032
2017,"36065","Oneida County","NY",1933
2017,"36067","Onondaga County","NY",4258
2017,"36069","Ontario County","NY",1359
2017,"36071","Orange County","NY",4400
2017,"36073","Orleans County","NY",486
2017,"36075","Oswego County","NY",1086
2017,"36077","Otsego County","NY",598
2017,"36079","Putnam County","NY",2057
2017,"36081","Queens County","NY",26215
2017,"36083","Rensselaer County","NY",1449
2017,"36085","Richmond County","NY",4740
2017,"36087","Rockland County","NY",5018
2017,"36089","St. Lawrence County","NY",705
2017,"36091","Saratoga County","NY",3016
2017,"36093","Schenectady County","NY",1405
2017,"36095","Schoharie County","NY",325
2017,"36097","Schuyler County","NY",274
2017,"36099","Seneca County","NY",327
2017,"36101","Steuben County","NY",1006
2017,"36103","Suffolk County","NY",24195
2017,"36105","Sullivan County","NY",947
2017,"36107","Tioga County","NY",582
2017,"36109","Tompkins County","NY",1240
2017,"36111","Ulster County","NY",2791
2017,"36113","Warren County","NY",955
2017,"36115","Washington County","NY",863
2017,"36117","Wayne County","NY",1201
2017,"36119","Westchester County","NY",14683
2017,"36121","Wyoming County","NY",596
2017,"36123","Yates County","NY",343
